,addr:housenumber,addr:postcode,addr:street,roof_area,roof_location_latitude,roof_location_longitude,irradiance,power
72811,2,28219,Theklaweg,5.832212408538908,53.10913264999999,8.821878300000002,1158.0,675.3701969088056
96879,36,28201,Dannhausenweg,6.259999318048358,53.055283200000005,8.805389250000001,1166.0,729.9159204844386
108012,157,28201,Großer Marienweg,7.05958665907383,53.06347036658494,8.815356951432753,1165.0,822.4418457821012
108367,10,28201,Volkmannstraße,7.6609481275081635,53.05579139999999,8.808538747863247,1166.0,893.266551667452
97421,29,28201,Diestelmeiersweg,7.842530339956284,53.05751234963411,8.803069066586271,1165.0,913.654784604907
68674,5,28279,Grasweg,7.93907212279737,53.05763495442898,8.850041428163665,1165.0,924.9019023058936
74660,73,28201,Ellaweg,8.00205334275961,53.0626885329436,8.819653734998507,1165.0,932.2392144314944
75025,7,28279,Friedaweg,8.155220873653889,53.06076930000002,8.837659500000001,1165.0,950.083231780678
68589,46,28279,Fresenweg,8.430182495270856,53.05769915783809,8.847640675257008,1165.0,982.1162606990548
72859,17,28219,Eddaweg,8.66548927128315,53.1089123,8.82288545,1158.0,1003.4636576145888
97212,15,28201,Kahrsweg,9.193268777802588,53.055618366362296,8.801209153272053,1166.0,1071.9351394917817
74903,7,28201,Hildeweg,9.66703376546502,53.06097856816974,8.83057511205459,1165.0,1126.209433676675
75119,2,28201,Huckelrieder Weg,9.714064701460302,53.06201210697895,8.820602321733832,1165.0,1131.6885377201252
97427,40,28201,Diestelmeiersweg,9.786176715046167,53.05748645,8.8036374,1165.0,1140.0895873028785
106110,3,28219,Schomburgweg,10.38160633854568,53.1103413,8.820390349999998,1158.0,1202.1900140035898
96916,17,28277,Dornröschenweg,10.374231420573778,53.04433554999999,8.808377499999997,1168.0,1211.710229923017
97199,19,28201,Lilienweg,10.556296836584806,53.05721115,8.80401795,1165.0,1229.80858146213
70500,23,28279,Feldweg,10.69553903490305,53.0578998460831,8.85320688067798,1165.0,1246.0302975662053
75767,20-22,28201,Mittelweg,10.738822859711943,53.06466195,8.822287000000001,1165.0,1251.0728631564416
72138,15,28279,Feldweg,10.78547257045284,53.05735945000001,8.851156799999998,1165.0,1256.5075544577558
72831,13,28219,Friggaweg,11.073830956127496,53.109151425537256,8.82377243261109,1158.0,1282.349624719564
108553,64,28259,Neuer Damm,11.16882199794054,53.041726700000005,8.726347800000001,1162.0,1297.8171161606908
74030,58,28201,Erikaweg,11.21452935319394,53.0602231,8.8280783,1165.0,1306.492669647094
76379,16,28201,Prießnitzweg,11.542183857411146,53.06732675,8.8155086,1164.0,1343.5102010026576
108013,162,28201,Großer Marienweg,11.553598683327436,53.06372444999999,8.815719,1165.0,1345.9942466076463
76250,55,28201,Kleiner Marienweg,11.596934460103512,53.06235341942819,8.814553093437297,1165.0,1351.0428646020591
79396,121,28201,Mittelweg,11.741655129939318,53.06290945000001,8.8319418,1165.0,1367.9028226379305
97386,6,28201,Johannesweg,11.768043676391244,53.06578635000001,8.8150692,1164.0,1369.8002839319408
97243,10,28201,Nagelsweg,11.770832128822803,53.05720175,8.80539765,1165.0,1371.3019430078566
68763,17,28207,Im Suhrfelde I,11.8648601770401,53.06227499999999,8.851246499999998,1165.0,1382.2562106251717
75059,46,28201,Herthaweg,11.870712362229824,53.061393,8.81855075,1165.0,1382.9379901997745
97415,21,28201,Diestelmeiersweg,11.89306290447712,53.05793775,8.804040549999998,1165.0,1385.5418283715844
97269,66,28201,Langeweg,12.03885554894805,53.057419200000005,8.8059396,1165.0,1402.5266714524478
98510,38,28201,Kleiner Marienweg,12.23987364768982,53.06270771897256,8.81633168193322,1165.0,1425.945279955864
88364,14,28207,Im Suhrfelde VI,12.268054364714772,53.0618652729727,8.85902373220602,1165.0,1429.2283334892709
97252,2,28201,Nagelsweg,12.40930139645934,53.05778509717917,8.806341083227707,1165.0,1445.6836126875132
81238,18,28357,Blocklander Hemmstraße,12.551688375882804,53.11887750000001,8.813524950000001,1157.0,1452.2303450896409
76124,2,28201,Weideweg,12.502093981020153,53.06552392329596,8.82100246282868,1165.0,1456.4939487888478
97419,25,28201,Diestelmeiersweg,12.550477877259254,53.05770993308364,8.803457905188207,1165.0,1462.1306727007031
76258,53,28201,Kleiner Marienweg,12.750118367373943,53.06241665,8.81475425,1165.0,1485.3887897990644
97251,1a,28201,Nagelsweg,12.9179082326591,53.0579514166814,8.806180196258817,1165.0,1504.936309104785
97410,35,28201,Dreiersweg,12.91876121982932,53.05773091646177,8.80420465118966,1165.0,1505.035682110116
68780,47,28207,Im Suhrfelde I,12.925563923083246,53.06303420000001,8.85198495,1165.0,1505.828197039198
76268,44,28201,Kleiner Marienweg,12.926798209547997,53.062537173330455,8.815705558163,1165.0,1505.9719914123416
97146,3,28277,Däumlingweg,13.034874206408858,53.042199618668455,8.806584770600665,1168.0,1522.4733073085547
68213,39,28279,Frühlingsweg,13.077136984094976,53.05695211854362,8.85387340883274,1165.0,1523.4864586470649
97242,1,28201,Nagelsweg,13.08452446013689,53.05800715006544,8.806276816668806,1165.0,1524.3470996059475
80496,8,28201,Bellstedtweg,13.155183285474775,53.05831204870885,8.80815936619817,1165.0,1532.5788527578115
73271,14,28201,Deichschartweg,13.262993103824556,53.06187079722785,8.814804930041404,1165.0,1545.1386965955608
97120,13,28277,Rumpelstilzchenweg,13.242056434974074,53.03920655,8.805019099999999,1168.0,1546.672191604972
96903,19,28201,Langeweg,13.401457361876965,53.055259651061775,8.802996133633451,1166.0,1562.6099283948545
97050,14,28277,Aschenputtelweg,13.43576298095286,53.04164047221333,8.805246992693332,1168.0,1569.297116175294
110724,41,28359,Weyerbergstraße,13.545870874077082,53.10118155,8.870366149999999,1161.0,1572.6756084803492
76091,30,28201,Juliusweg,13.501361273229122,53.06379235,8.813443099999999,1165.0,1572.9085883311927
75564,7,28201,Weideweg,13.643146546557546,53.06572701722673,8.821988634890369,1164.0,1588.0622580192985
68194,30,28279,Frühlingsweg,13.735310299322007,53.05719525000001,8.8531881,1165.0,1600.163649871014
97113,7,28277,Hans-im-Glück-Weg,13.855243481695652,53.04099145,8.806305749999998,1168.0,1618.2924386620523
